Title,Price,link,Date
"HP 15s-fq0003sf Ordinateur Portable 15,6"" FHD, PC Portable (Intel Celeron N4120, RAM 4 Go, SSD 128 Go, Intel UHD Graphics, Windows 11), Laptop Gris, AZERTY, Microsoft 365 Personnel 12 Mois Inclus","267,,86 €",https://www.amazon.fr/HP-15s-fq0003sf-Pixels-Celeron-Windows/dp/B0CY2T5TL7/ref=sr_1_25,2025-07-23
"Acer Chromebook 314 CBOA314-1H-C8XY, 14 inch Full HD Laptop, Laptop (Intel Celeron N4500, 4GB RAM, 128GB eMMC, Intel UHD Graphics, Chrome OS), Laptop Grey, AZERTY Keyboard","249.,00 €",https://www.amazon.fr/Acer-Chromebook-CBOA314-1H-C8XY-Ordinateur-Portable/dp/B0BDDPMVYJ/ref=sr_1_26,2025-07-23
"Ekonavi Ordinateur Portable 14,1 Pouces, Notebook Celeron N4000 SSD 256 Go RAM LPDDR4 6 Go, PC Portable écran FHD 180 °, Laptop avec Mini-HDMI, 2 * USB3.0 Ordinateur PC Mince et léger argenté","189,,99 €",https://www.amazon.fr/Ekonavi-Ordinateur-Portable-Notebook-Mini-HDMI/dp/B0DT4DGYNK/ref=sr_1_27,2025-07-23
"PINSTONE 15.6 Inch Laptop - 16GB RAM 512GB SSD, Quad Core N95 Laptop, Support Touch ID, WiFi, BT4.2, Keyboard Backlight, Suitable for Students/Businesses","329.,99 €",https://www.amazon.fr/Ordinateur-portable-ordinateur-r%C3%A9tro%C3%A9clairage-entreprises/dp/B0D7ZPSRMR/ref=sr_1_28,2025-07-23
"BNCF 11"" Intel N150 2-in-1 Laptops, Windows 11 Touchscreen PC, 12GB RAM 512GB SSD, 1920x1200 IPS FHD Tablet USB-C/HDMI/SD WiFi 6, 34.2Wh Batterie avec Clavier magnétique et étui en Cuir","339,,99 €",https://www.amazon.fr/BNCF-Touchscreen-1920x1200-Batterie-magn%C3%A9tique/dp/B0F48G7RM2/ref=sr_1_29,2025-07-23
"16 Inch Laptop, Core I5 Laptop With Up to 3.60 GHz, 16GB+1TB SSD Laptop, Laptops IPS Screen 1920x 1200 FHD, Laptops Full Size Backlit Keyboard Wi-Fi 5","339.,99 €",https://www.amazon.fr/Portable-Ordinateur-Ordinateurs-Portables-r%C3%A9tro%C3%A9clair%C3%A9/dp/B0FG7YLJ89/ref=sr_1_30,2025-07-23
"Ekonavi Ordinateur Portable 15,6 Pouces, 24 Go de RAM 512 Go de SSD, PC Portable Celeron N5095 1920 x 1080 FHD Touch ID, Laptop WiFi Double Bande Win11 Pro, avec Clavier rétroéclairé Pleine Taille","299,,99 €",https://www.amazon.fr/Ekonavi-Ordinateur-Celeron-N5095-r%C3%A9tro%C3%A9clair%C3%A9/dp/B0DWFFCVN5/ref=sr_1_31,2025-07-23
"Acer Aspire 3 A317-55P-36YL 17.3-Inch Full HD Laptop (Intel Core i3-N305, 8GB RAM, 512GB SSD, Intel UHD Graphics, Windows 10) – French AZERTY Keyboard, Laptop Grey","599.,00 €",https://www.amazon.fr/Acer-A317-55P-36YL-Ordinateur-Portable-Graphics/dp/B0C1L22SS1/ref=sr_1_36,2025-07-23
"Lenovo IdeaPad 1 15IJL7 – 15.6 Inch FHD Laptop (Intel Celeron N4500, 4GB RAM, 128GB eMMC, Intel UHD Graphics, Windows 11 Home S Mode, Microsoft 365 Personal) French AZERTY Keyboard – Grey","299.,90 €",https://www.amazon.fr/Lenovo-IdeaPad-15IJL7-Ordinateur-Microsoft/dp/B0D9YV1R7B/ref=sr_1_37_mod_primary_new,2025-07-23
"Ekonavi Ordinateur Portable 14,1 Pouces, Laptop Celeron J4125, 8 Go de RAM DDR4, 256 Go de SSD, écran IPS 1920 x 1080, avec Mini HDMI, USB-3.0, WiFi Bluetooth 5.0, Argent, Ordinateur PC Fin et léger","209,,99 €",https://www.amazon.fr/Ekonavi-Ordinateur-Celeron-J4125-Bluetooth/dp/B0DSMN4KZ6/ref=sr_1_38,2025-07-23
2025 Newest 14 Inch Laptop PC Win11 256GB Support SSD Extension 1TB(TF-512GB) Celeron N4020 Laptop with 5G WiFi Mini HDMI BT4.2 Includes Wireless Mouse&AZERTY Membrane-Silver,"209.,49 €",https://www.amazon.fr/NOTODD-Ordinateur-Portable-Extension-Membrane-Argent/dp/B0D83HHFVW/ref=sr_1_39,2025-07-23
"rumlawn 15.6 inch laptop, laptop 16GB RAM, 512GB SSD, Core I3-8100Y (up to 3.4 GHz), UHD graphics card, laptop Win11 & 1080P screen, Wi-Fi 5 & BT 5.0, USB 3.0 x 3 & Type-C and HDMI","269.,99 €",https://www.amazon.fr/rumlawn-Ordinateur-Portable-I3-8100Y-Graphique/dp/B0F626M5JW/ref=sr_1_40,2025-07-23
"Celeron N4000 15.6 inch Laptop, Laptop 8GB RAM LPDDR4 SSD 256GB Full HD 1920 x 1080, Laptop with USB 3.0, Wi-Fi, Mini HDMI, Bluetooth 4.2, Support 1TB SSD Expansion","209.,99 €",https://www.amazon.fr/Ordinateur-Portable-Celeron-Bluetooth-lextension/dp/B0F5PZVSH3/ref=sr_1_41,2025-07-23
"Ordinateur Portable Gaming 16 Pouces 12+512 Go Soutien Extension 2TB (HDD-2TB) 4 cœurs Celeron N5095 (jusqu'à 2,9 GHz)PC Gamer Portable 1920x1200 Laptop avec clavier numérique 5G WiFi Mini HDMI-Rouge","309,,99 €",https://www.amazon.fr/Ordinateur-Portable-Extension-1920x1200-Couverture-Rouge/dp/B0D7PHB9P9/ref=sr_1_42,2025-07-23
"AUKABREX Laptop Win 11 Pro OS, 14.1 Inch Laptop Celeron N4000 CPU, Laptop 6GB RAM 256GB SSD, Laptop 180°Flip 1080P IPS Screen, WiFi/USB 3.0/BT4.2/Mini-HDMI/TF Card Slot/Webcam","199.,99 €",https://www.amazon.fr/AUKABREX-Ordinateur-Portable-180%C2%B0Flip-Mini-HDMI/dp/B0F9WKCVNC/ref=sr_1_43,2025-07-23
"ACEMAGIC 15.6 Pouces Ordinateur Portable avec Ryzen 7 5700U (8C/16T, 4,3GHz) 16Go RAM DDR4x2 + 512Go M.2 SSD PC Portables, 1080 FHD, 3*USB 3.2, BT5.2, HDMI, Type C, Adaptateur 65W, WiFi 6.0 Laptop","469,,99 €",https://www.amazon.fr/Ordinateur-Portable-ACEMAGIC-R%C3%A9tro%C3%A9clair%C3%A9-Portables/dp/B0D66M83HD/ref=sr_1_44,2025-07-23
"14-inch laptop, 14-inch laptop, HP Elitebook 830 G5, i5-8350U, 16GB RAM, 513GB SSD, French AZERTY keyboard, laptop Windows 11 Pro, 2-year warranty (refurbished)","329.,00 €",https://www.amazon.fr/HP-EliteBook-Ordinateur-antivirus-reconditionn%C3%A9/dp/B0B8J6VKK8/ref=sr_1_45,2025-07-23
"Dell Latitude 5400 Laptop 14"" Intel Core i5-8365U RAM 16GB SSD 480GB W11","288.,90 €",https://www.amazon.fr/Portable-Latitude-Intel-i5-8365U-480Go/dp/B0CQC58T9N/ref=sr_1_46,2025-07-23
"Ordinateur Portable 14 Pouces, PC Portable 14 Pouces, Lenovo ThinkPad T470, i5-7300U, RAM 16 Go, SSD 512 Go, Laptop Windows 11 Pro, clavier AZERTY Français, Webcam, Garantie 2 Ans (Reconditionné)","299,,00 €",https://www.amazon.fr/Lenovo-ThinkPad-Ordinateur-professionnel-reconditionn%C3%A9/dp/B0BGWMHPC6/ref=sr_1_47,2025-07-23
"HP Envy 14-fa000sf Ordinateur Portable Convertible 14"" 2.8K OLED 120 Hz Tactile, PC Portable (AMD Ryzen 7 8840HS, RAM 16 Go, SSD 512 Go, AMD Radeon Graphics, Windows 11), Laptop Argent, Clavier AZERTY","999,,00 €",https://www.amazon.fr/HP-14-fa0000sf-Portable-Convertible-Ordinateur/dp/B0CXZD2DFJ/ref=sr_1_48,2025-07-23
PINSTONE 15.6'' Laptop 16GB RAM LPDDR4 512GB SSD PC Laptop Celeron N5095 Processor Laptop Computer Touch ID WiFi5 Bluetooth 4.0 USB 3.0 Student Business Entertainment,"319.,99 €",https://www.amazon.fr/PINSTONE-Ordinateur-Processeur-Entreprise-Divertissement/dp/B0FDKJMH7H/ref=sr_1_49,2025-07-23
"Babacom Laptop Stand, Laptop Stand with 5 Adjustable Levels, Ventilated Aluminum Cooler Compatible with MacBook, Lenovo, Other Laptops Tablets 10 - 15.6 Inches","13.,59 €",https://www.amazon.fr/Babacom-Ordinateur-R%C3%A9glables-Refroidisseur-Compatible/dp/B086V28W64/ref=sr_1_50,2025-07-23
"HP Victus 16-r0005sf Gaming Laptop 16 Inch FHD IPS 144 Hz, Laptop Gamer (Intel Core i7-13620H, 16GB RAM, 512GB SSD, Nvidia GeForce RTX 4060 8GB, Windows 11), Laptop Blue, AZERTY","1,299.,00 €",https://www.amazon.fr/HP-16-r0005sf-i7-13620H-GeForce-Windows/dp/B0DCW2KYW3/ref=sr_1_51,2025-07-23
"Blackview Ordinateur Portable Acebook 8 15.6"" 16Go RAM +512Go ROM SSD (jusqu'à 3,6 GHz), Win 11 DDR4 1920 * 1080 PC Portable, 2.4G+5G WiFi, USB 3.0×2, HDMI 2.0, Clavier QWERTY, Type C Laptop","349,,99 €",https://www.amazon.fr/Blackview-Ordinateur-Portable-Acebook-Clavier/dp/B0D73FH7CX/ref=sr_1_52,2025-07-23
"PINSTONE Ordinateur Portable 14,1″ – PC Portable & Laptop Fanless, Celeron N4000, 6 Go RAM, 128 Go SSD, Ordinnateur Portable Adapté À L'Apprentissage, Au Travail Et À Un Usage Quotidien.","229,,99 €",https://www.amazon.fr/PINSTONE-Ordinateur-Portable-Ordinnateur-LApprentissage/dp/B0FFGXP6WP/ref=sr_1_53,2025-07-23
"Dell Inspiron 14 (5441) Copilot+ Laptop 14"" FHD+ 60Hz Screen, Snapdragon X Plus, 16GB RAM, 512GB SSD, Qualcomm Adreno, Windows 11 Home, AZERTY Backlit Keyboard - Titanium Grey","809.,00 €",https://www.amazon.fr/Dell-Inspiron-Portable-Snapdragon-r%C3%A9tro%C3%A9clair%C3%A9/dp/B0DHJ3L7ST/ref=sr_1_54,2025-07-23
